GEOID,county,lat,lon,land_area_sq_mi
13001,Appling,31.748527,-82.289469,507.081
13003,Atkinson,31.296343,-82.875515,339.382
13005,Bacon,31.552518,-82.452701,258.576
13007,Baker,31.326329,-84.442825,341.944
13009,Baldwin,33.071749,-83.251264,257.844
13011,Banks,34.358363,-83.499956,232.091
13013,Barrow,33.991752,-83.714366,160.309
13015,Bartow,34.239161,-84.838195,459.544
13017,Ben Hill,31.762072,-83.218106,250.121
13019,Berrien,31.277404,-83.226957,451.897
13021,Bibb,32.803013,-83.691891,249.762
13023,Bleckley,32.436835,-83.328165,215.87
13025,Brantley,31.199555,-81.975534,442.362
13027,Brooks,30.842388,-83.579261,493.046
13029,Bryan,32.013748,-81.443543,435.967
13031,Bulloch,32.395152,-81.749706,672.809
13033,Burke,33.060409,-81.998446,826.968
13035,Butts,33.285024,-83.955191,184.393
13037,Calhoun,31.528067,-84.626698,280.367
13039,Camden,30.929282,-81.669286,613.025
13043,Candler,32.398342,-82.07656,243.044
13045,Carroll,33.584143,-85.084173,499.076
13047,Catoosa,34.898803,-85.137602,162.159
13049,Charlton,30.785332,-82.137575,773.576
13051,Chatham,32.003473,-81.132924,426.437
13053,Chattahoochee,32.34458,-84.792466,248.736
13055,Chattooga,34.474062,-85.345058,313.338
13057,Cherokee,34.241765,-84.474934,421.674
13059,Clarke,33.951979,-83.357124,119.2
13061,Clay,31.625961,-84.980885,195.381
13063,Clayton,33.547208,-84.365579,141.57
13065,Clinch,30.913685,-82.703966,800.222
13067,Cobb,33.941448,-84.57631,339.549
13069,Coffee,31.548381,-82.852959,575.097
13071,Colquitt,31.188888,-83.767148,544.153
13073,Columbia,33.543799,-82.264748,290.09
13075,Cook,31.158704,-83.427219,227.162
13077,Coweta,33.352832,-84.767239,440.892
13079,Crawford,32.717456,-83.983889,324.888
13081,Crisp,31.92198,-83.770299,272.583
13083,Dade,34.85782,-85.503555,173.981
13085,Dawson,34.439674,-84.164898,210.83
13087,Decatur,30.877744,-84.576685,597.14
13089,DeKalb,33.769461,-84.224248,267.582
13091,Dodge,32.169988,-83.169433,495.89
13093,Dooly,32.1558,-83.797922,391.94
13095,Dougherty,31.531445,-84.21895,328.689
13097,Douglas,33.702808,-84.7693,200.067
13099,Early,31.320043,-84.903662,512.594
13101,Echols,30.711561,-82.89762,414.894
13103,Effingham,32.365781,-81.341272,477.7
13105,Elbert,34.115279,-82.836942,351.055
13107,Emanuel,32.590122,-82.302421,680.604
13109,Evans,32.156824,-81.885327,182.853
13111,Fannin,34.866018,-84.317074,386.723
13113,Fayette,33.410331,-84.491165,194.342
13115,Floyd,34.26775,-85.210517,509.911
13117,Forsyth,34.227224,-84.122798,224.021
13119,Franklin,34.372668,-83.235506,261.497
13121,Fulton,33.787989,-84.467265,526.635
13123,Gilmer,34.690713,-84.452806,426.54
13125,Glascock,33.238948,-82.606544,143.74
13127,Glynn,31.234504,-81.538614,419.753
13129,Gordon,34.50833,-84.871402,355.808
13131,Grady,30.874795,-84.234247,454.527
13133,Greene,33.582673,-83.169112,387.435
13135,Gwinnett,33.96232,-84.022085,430.383
13137,Habersham,34.630531,-83.528887,276.74
13139,Hall,34.318198,-83.816227,392.782
13141,Hancock,33.274365,-83.000244,471.841
13143,Haralson,33.796149,-85.20987,282.165
13145,Harris,32.734814,-84.912777,463.869
13147,Hart,34.347956,-82.962501,232.394
13149,Heard,33.297433,-85.129084,296.03
13151,Henry,33.457217,-84.162773,322.127
13153,Houston,32.45686,-83.667179,375.541
13155,Irwin,31.604003,-83.278523,354.343
13157,Jackson,34.13541,-83.568254,339.663
13159,Jasper,33.314919,-83.688499,368.165
13161,Jeff Davis,31.804921,-82.635247,330.74
13163,Jefferson,33.056544,-82.416709,526.485
13165,Jenkins,32.792736,-81.961746,347.279
13167,Johnson,32.708564,-82.65896,303.01
13169,Jones,33.023387,-83.560406,393.933
13171,Lamar,33.082489,-84.144341,183.5
13173,Lanier,31.037658,-83.066169,185.261
13175,Laurens,32.465634,-82.920681,807.296
13177,Lee,31.781537,-84.144639,355.784
13179,Liberty,31.824018,-81.491361,489.801
13181,Lincoln,33.791755,-82.448952,210.38
13183,Long,31.748059,-81.746481,400.293
13185,Lowndes,30.832919,-83.267069,496.066
13187,Lumpkin,34.570584,-84.002705,282.933
13189,McDuffie,33.474311,-82.480236,257.461
13191,McIntosh,31.492724,-81.4083,424.299
13193,Macon,32.358007,-84.044224,400.641
13195,Madison,34.130278,-83.213304,282.311
13197,Marion,32.354373,-84.528272,366.003
13199,Meriwether,33.039841,-84.685809,501.223
13201,Miller,31.164991,-84.730797,282.421
13205,Mitchell,31.224276,-84.193938,512.085
13207,Monroe,33.010028,-83.919956,395.658
13209,Montgomery,32.17298,-82.528672,239.523
13211,Morgan,33.590345,-83.48863,347.349
13213,Murray,34.789568,-84.746803,344.466
13215,Muscogee,32.509924,-84.87622,216.385
13217,Newton,33.557022,-83.851276,272.161
13219,Oconee,33.83998,-83.43605,184.29
13221,Oglethorpe,33.88065,-83.075785,439.012
13223,Paulding,33.919988,-84.863139,312.219
13225,Peach,32.573165,-83.82464,150.267
13227,Pickens,34.465185,-84.467605,232.057
13229,Pierce,31.359876,-82.213648,316.494
13231,Pike,33.094363,-84.385705,216.086
13233,Polk,34.003947,-85.184423,310.331
13235,Pulaski,32.226239,-83.470038,249.031
13237,Putnam,33.324873,-83.372533,344.639
13239,Quitman,31.865436,-85.020933,151.237
13241,Rabun,34.882351,-83.407305,369.993
13243,Randolph,31.761059,-84.755323,428.236
13245,Richmond,33.359009,-82.073736,324.326
13247,Rockdale,33.651683,-84.033616,129.793
13249,Schley,32.263944,-84.316505,166.906
13251,Screven,32.750417,-81.611759,645.101
13253,Seminole,30.940524,-84.86557,235.226
13255,Spalding,33.265488,-84.286513,196.469
13257,Stephens,34.549809,-83.290443,179.131
13259,Stewart,32.076658,-84.837637,458.733
13261,Sumter,32.040315,-84.196446,482.697
13263,Talbot,32.698821,-84.536503,391.389
13265,Taliaferro,33.567632,-82.878768,194.608
13267,Tattnall,32.043816,-82.051331,479.403
13269,Taylor,32.557347,-84.247409,376.686
13271,Telfair,31.931274,-82.932986,437.303
13273,Terrell,31.774454,-84.443915,335.439
13275,Thomas,30.863889,-83.918568,544.596
13277,Tift,31.458211,-83.525348,258.915
13279,Toombs,32.11935,-82.324965,364.005
13281,Towns,34.914881,-83.740048,166.563
13283,Treutlen,32.402768,-82.566126,199.436
13285,Troup,33.033021,-85.029711,413.988
13287,Turner,31.713633,-83.624069,285.393
13289,Twiggs,32.665655,-83.421366,358.398
13291,Union,34.82914,-83.987968,321.926
13293,Upson,32.87947,-84.301431,323.437
13295,Walker,34.734317,-85.301581,446.379
13297,Walton,33.77972,-83.732818,325.68
13299,Ware,31.058683,-82.422118,892.461
13301,Warren,33.409096,-82.678062,284.298
13303,Washington,32.971643,-82.79371,678.452
13305,Wayne,31.550978,-81.921381,641.777
13307,Webster,32.044751,-84.554015,209.118
13309,Wheeler,32.122756,-82.725667,295.484
13311,White,34.642854,-83.747927,240.686
13313,Whitfield,34.8133,-84.961268,290.464
13315,Wilcox,31.968782,-83.436415,377.705
13317,Wilkes,33.779569,-82.73958,469.49
13319,Wilkinson,32.802542,-83.172382,447.308
13321,Worth,31.549319,-83.852404,570.702
